City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,Race,Count
Columbus,Ohio,32.5,413981,435086,849067,40238,101129,2.4,OH,Hispanic or Latino,46855
Columbus,Georgia,33.7,98785,101794,200579,21747,10376,2.62,GA,American Indian and Alaska Native,1343
San Leandro,California,41.8,43032,47679,90711,4111,34293,2.79,CA,Black or African-American,11100
Brockton,Massachusetts,35.2,46273,49041,95314,3036,27313,2.88,MA,American Indian and Alaska Native,881
Merced,California,29.7,40048,42392,82440,3723,16348,3.15,CA,Hispanic or Latino,43684
Cambridge,Massachusetts,31.5,55421,54981,110402,2495,27757,2.06,MA,Hispanic or Latino,9433
New York,New York,36,4081698,4468707,8550405,156961,3212500,2.68,NY,White,3835726
Athens-Clarke County unified government,Georgia,26.5,57415,65148,122563,3953,12868,2.44,GA,Black or African-American,34583
Metairie,Louisiana,41.6,69515,76943,146458,7187,19871,2.39,LA,Black or African-American,17263
Boulder,Colorado,29,56342,51000,107342,4061,12993,2.24,CO,American Indian and Alaska Native,767
Bellflower,California,33.4,38936,39498,78434,2154,24607,3.58,CA,Black or African-American,12839
Fresno,California,30,256130,263942,520072,18410,103453,3.12,CA,Hispanic or Latino,256145
Mesa,Arizona,36.9,234998,236835,471833,31808,57492,2.68,AZ,White,413010
Camarillo,California,40.8,31941,35682,67623,4384,9735,2.77,CA,White,59702
Edmond,Oklahoma,32.5,45191,44899,90090,5006,5585,2.68,OK,White,78979
Victorville,California,30.6,60989,61247,122236,7484,21959,3.47,CA,White,86648
Green Bay,Wisconsin,32.9,52517,52704,105221,5519,9813,2.37,WI,Asian,5652
Bossier City,Louisiana,32.7,33428,34669,68097,8108,2980,2.4,LA,Black or African-American,19520
Apple Valley,California,34.3,32873,39312,72185,5714,5801,3.03,CA,Hispanic or Latino,25928
Schaumburg,Illinois,36.9,35971,39840,75811,2019,24614,2.72,IL,Asian,21571
Bellevue,Washington,37.4,70763,69051,139814,5382,54654,2.43,WA,Hispanic or Latino,12215
Bellflower,California,33.4,38936,39498,78434,2154,24607,3.58,CA,Asian,10764
Maple Grove,Minnesota,38.6,31780,36601,68381,2943,7645,2.64,MN,White,59683
Fall River,Massachusetts,39.3,43314,45456,88770,4143,14775,2.21,MA,White,77242
Wichita,Kansas,34.6,192354,197601,389955,23978,40270,2.56,KS,Asian,25210
Pasadena,Texas,31.5,78827,74959,153786,5735,38072,2.95,TX,White,140240
Ann Arbor,Michigan,28.1,58789,58281,117070,3614,20717,2.17,MI,White,90173
Union City,California,38.5,38599,35911,74510,1440,32752,3.46,CA,American Indian and Alaska Native,243
East Orange,New Jersey,35.5,29995,34967,64962,1870,15164,2.85,NJ,White,3165
Oklahoma City,Oklahoma,34.1,309227,322036,631263,41843,80165,2.58,OK,Hispanic or Latino,117362
San Ramon,California,39.1,39221,36911,76132,2855,29691,3.09,CA,Asian,38970
Daly City,California,39.7,53817,52757,106574,3782,56640,3.26,CA,Black or African-American,5401
Torrance,California,41.2,73209,75259,148468,8459,43096,2.7,CA,Black or African-American,5906
Norwalk,Connecticut,42.4,40880,47603,88483,2877,22328,2.7,CT,Asian,2954
Lowell,Massachusetts,33.4,54422,56298,110720,3764,33414,2.8,MA,American Indian and Alaska Native,868
Temple,Texas,33.6,33512,38785,72297,7333,3968,2.59,TX,White,54698
Miami Beach,Florida,42.5,48090,44221,92311,2265,49908,2.1,FL,White,72180
Portland,Oregon,36.7,313516,318671,632187,29940,86041,2.43,OR,Asian,64386
Auburn,Washington,37.1,36837,39743,76580,5401,14842,2.73,WA,Hispanic or Latino,10836
Costa Mesa,California,34.8,59097,54089,113186,4095,26645,2.59,CA,White,87320
New Bedford,Massachusetts,38.6,43793,51166,94959,4185,19024,2.39,MA,American Indian and Alaska Native,346
Midland,Texas,32.1,66595,66355,132950,5753,17061,2.78,TX,Asian,3279
Hartford,Connecticut,31,58042,65972,124014,3130,28467,2.59,CT,White,46529
Arvada,Colorado,41,54870,60165,115035,8930,4921,2.49,CO,American Indian and Alaska Native,2370
Broken Arrow,Oklahoma,36.8,52136,55459,107595,6797,6845,2.77,OK,Black or African-American,7198
Livonia,Michigan,47.4,45369,49264,94633,5397,7175,2.52,MI,White,87383
Johns Creek,Georgia,39,40282,43057,83339,1983,29000,3.19,GA,Black or African-American,11273
Berkeley,California,32.5,60142,60829,120971,3736,25000,2.35,CA,American Indian and Alaska Native,1868
Palm Bay,Florida,40.7,51767,56128,107895,10942,12070,2.82,FL,Asian,1124
Mount Pleasant,South Carolina,42.7,39429,41880,81309,3981,4701,2.53,SC,Hispanic or Latino,2569
Atascocita,Texas,32.8,37424,40816,78240,4416,8657,3.03,TX,American Indian and Alaska Native,1024
Denton,Texas,28.7,62478,68569,131047,6352,18451,2.66,TX,Hispanic or Latino,29350
Waterloo,Iowa,37.2,34488,33969,68457,4800,5082,2.42,IA,Asian,1636
Upland,California,39.7,36226,40221,76447,2898,16552,2.77,CA,Black or African-American,5717
Pasco,Washington,28.6,35298,32799,68097,2052,16265,3.45,WA,Hispanic or Latino,38883
Columbia,Maryland,37.9,52202,51265,103467,6526,23249,2.68,MD,White,58343
Hartford,Connecticut,31,58042,65972,124014,3130,28467,2.59,CT,Black or African-American,49939
Kalamazoo,Michigan,26.4,37175,38865,76040,3048,3482,2.36,MI,American Indian and Alaska Native,954
Redondo Beach,California,43,34855,33330,68185,3014,13536,2.34,CA,White,53811
Waukesha,Wisconsin,35.8,36263,35713,71976,3116,4982,2.35,WI,White,66757
Worcester,Massachusetts,34.9,90951,93855,184806,9408,36907,2.43,MA,Asian,15932
Pearland,Texas,33.9,52336,59329,111665,5621,16882,3,TX,Black or African-American,23779
Waukesha,Wisconsin,35.8,36263,35713,71976,3116,4982,2.35,WI,Black or African-American,1923
Lakewood,Colorado,37.7,76013,76576,152589,9988,14169,2.29,CO,American Indian and Alaska Native,2597
Spokane,Washington,36.6,102756,110511,213267,18044,13253,2.34,WA,Black or African-American,10045
Racine,Wisconsin,33.7,39314,38423,77737,4650,4403,2.56,WI,Hispanic or Latino,18215
Layton,Utah,29.5,37748,36394,74142,3811,4268,3.24,UT,Black or African-American,2710
Torrance,California,41.2,73209,75259,148468,8459,43096,2.7,CA,American Indian and Alaska Native,3638
Carlsbad,California,42.1,55119,58347,113466,6031,17689,2.68,CA,American Indian and Alaska Native,1513
Temecula,California,34.2,54407,57619,112026,7587,18884,3.34,CA,Black or African-American,5698
Fort Smith,Arkansas,34.9,43346,44849,88195,3408,13177,2.44,AR,Asian,6228
Hillsboro,Oregon,35.3,50926,51434,102360,6625,19531,2.68,OR,Black or African-American,4347
Vista,California,29.3,50680,50204,100884,4957,23271,3.52,CA,White,83529
Gastonia,North Carolina,36.9,35527,39023,74550,3537,5715,2.67,NC,White,46362
Richardson,Texas,35.5,54676,56151,110827,4797,29579,2.83,TX,Asian,20724
Brentwood,New York,34.2,31395,32397,63792,1492,27058,4.98,NY,Black or African-American,8619
Chino,California,36.5,50989,34610,85599,4186,18666,3.62,CA,White,44543
Lubbock,Texas,29.2,122320,126731,249051,10588,14226,2.61,TX,Asian,7508
Bk,California,37,50405,54909,105314,4048,32435,2.52,CA,Asian,14636
Madison,Wisconsin,30.7,122596,126360,248956,9707,30090,2.23,WI,Asian,23937
Urban Honolulu,Hawaii,41.4,176807,175959,352766,23213,101312,2.69,HI,American Indian and Alaska Native,5592
Yuba City,California,34.5,33654,33290,66944,4706,18032,2.9,CA,White,48746
Springfield,Massachusetts,31.8,74744,79592,154336,5723,16226,2.81,MA,American Indian and Alaska Native,2087
Garden Grove,California,37.8,86779,88605,175384,4316,80677,3.66,CA,White,66782
Waldorf,Maryland,33.6,35640,39872,75512,6932,5954,2.69,MD,American Indian and Alaska Native,1918
Macon,Georgia,36,71833,81626,153459,10735,4846,2.46,GA,American Indian and Alaska Native,682
Cranston,Rhode Island,39.9,38365,42712,81077,4702,10631,2.56,RI,American Indian and Alaska Native,839
Springfield,Missouri,34.1,81057,85741,166798,12291,7765,2.12,MO,Hispanic or Latino,7100
Hialeah,Florida,43,111530,125552,237082,1844,170148,3.31,FL,Black or African-American,5687
Lafayette,Indiana,33.5,34313,36857,71170,5045,5697,2.19,IN,White,63157
Spring Hill,Florida,45.1,48295,54902,103197,9737,7893,2.58,FL,American Indian and Alaska Native,1254
Oklahoma City,Oklahoma,34.1,309227,322036,631263,41843,80165,2.58,OK,American Indian and Alaska Native,41696
Newark,New Jersey,34.6,138040,143873,281913,5829,86253,2.73,NJ,Hispanic or Latino,100432
Paradise,Nevada,37.2,122784,114162,236946,14112,66712,2.65,NV,Asian,28380
Tuscaloosa,Alabama,29.1,47293,51045,98338,3647,4706,2.67,AL,White,52603
Milwaukee,Wisconsin,31.6,286315,313839,600154,20615,58321,2.51,WI,White,297038
Eugene,Oregon,33.4,79071,84377,163448,8896,14503,2.34,OR,Black or African-American,5632
New Haven,Connecticut,29.9,63765,66545,130310,2567,25871,2.48,CT,American Indian and Alaska Native,2205
Mission,Texas,32.9,40530,42777,83307,2383,22608,3.51,TX,White,77985
Santa Monica,California,40.6,46732,46487,93219,2008,24448,2,CA,Black or African-American,9663
Tustin,California,33.4,39511,41052,80563,2434,25034,3.27,CA,White,39660
Kirkland,Washington,40.8,42159,45108,87267,5156,18570,2.3,WA,Asian,15277
Santa Fe,New Mexico,44.1,40601,43511,84112,5083,13824,2.41,NM,American Indian and Alaska Native,2960
Norfolk,Virginia,30.2,128917,117476,246393,29445,16702,2.51,VA,Black or African-American,107893
Eagan,Minnesota,36.8,31587,34701,66288,2699,8642,2.49,MN,White,52612
Frisco,Texas,37.2,73989,80399,154388,6297,30913,3.05,TX,Black or African-American,10821
Rialto,California,31.6,49902,53235,103137,2036,32741,3.83,CA,American Indian and Alaska Native,1065
Cranston,Rhode Island,39.9,38365,42712,81077,4702,10631,2.56,RI,White,64806
Olathe,Kansas,33,65046,69270,134316,6042,11913,2.97,KS,Black or African-American,9518
Woodbury,Minnesota,37.7,31982,35868,67850,2732,9477,2.72,MN,Black or African-American,6054
Joliet,Illinois,33.1,70863,79162,150025,7353,22409,3.13,IL,Asian,2813
College Station,Texas,22.9,54125,53774,107899,2471,16145,2.52,TX,Hispanic or Latino,17784
West Palm Beach,Florida,39.6,49262,57520,106782,4917,30675,2.53,FL,Hispanic or Latino,26132
Boulder,Colorado,29,56342,51000,107342,4061,12993,2.24,CO,Hispanic or Latino,9795
Memphis,Tennessee,34.1,312237,343523,655760,31189,43318,2.55,TN,Black or African-American,420983
Las Cruces,New Mexico,32.7,47835,53809,101644,9421,11888,2.58,NM,American Indian and Alaska Native,2368
San Diego,California,34.5,693826,701081,1394907,92489,373842,2.73,CA,Hispanic or Latino,425414
Walnut Creek,California,47.6,31994,36912,68906,4977,13624,2.22,CA,White,57064
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,American Indian and Alaska Native,1845
Glen Burnie,Maryland,36.5,33398,36461,69859,5298,6971,2.58,MD,Hispanic or Latino,9137
Spring Valley,Nevada,37,96808,97147,193955,10644,61072,2.79,NV,White,111763
Napa,California,37.2,39828,40601,80429,4678,18449,2.84,CA,White,57837
Aurora,Colorado,34.2,177899,180971,358870,25158,65816,2.82,CO,American Indian and Alaska Native,8277
Evanston,Illinois,36.8,34146,41377,75523,2058,15003,2.29,IL,Black or African-American,11671
Visalia,California,32.6,63695,66399,130094,5547,20779,3.11,CA,American Indian and Alaska Native,2113
Elizabeth,New Jersey,34.2,65896,63116,129012,1131,63413,3.18,NJ,American Indian and Alaska Native,797
Lynn,Massachusetts,34.8,44598,47861,92459,3093,29899,2.81,MA,White,50652
Clovis,California,37.8,52392,51780,104172,6173,13409,2.76,CA,Asian,14249
Frederick,Maryland,36.1,33146,36336,69482,3870,14211,2.48,MD,White,49181
Fayetteville,North Carolina,30.7,101051,100914,201965,28089,12863,2.5,NC,White,102075
Baton Rouge,Louisiana,31.2,111492,117104,228596,10633,12268,2.52,LA,Hispanic or Latino,7428
Cincinnati,Ohio,32.7,143654,154883,298537,13699,16896,2.08,OH,Asian,7633
Longview,Texas,36.8,40065,41525,81590,5512,8782,2.55,TX,Hispanic or Latino,17614
Sioux City,Iowa,34.3,38827,43949,82776,4093,7471,2.57,IA,American Indian and Alaska Native,1956
Bolingbrook,Illinois,33.7,36295,35801,72096,2951,15212,3.42,IL,Hispanic or Latino,16904
Framingham,Massachusetts,40.3,35442,35768,71210,2625,19070,2.49,MA,White,52205
Lafayette,Louisiana,31.7,64018,63643,127661,5206,5396,2.54,LA,Asian,2776
Chino Hills,California,41.9,39639,38674,78313,3358,24764,3.05,CA,White,40030
Knoxville,Tennessee,33.1,89978,95334,185312,10897,10285,2.21,TN,White,145055
Southfield,Michigan,41.6,31369,41808,73177,4035,4011,2.27,MI,Hispanic or Latino,573
Bellevue,Washington,37.4,70763,69051,139814,5382,54654,2.43,WA,American Indian and Alaska Native,1949
Tacoma,Washington,37.7,100914,107036,207950,19040,31863,2.48,WA,American Indian and Alaska Native,5549
Coral Springs,Florida,37.2,63316,66186,129502,4724,38552,3.17,FL,Asian,6573
Manchester,New Hampshire,37.3,54845,55378,110223,5473,14506,2.4,NH,Black or African-American,6896
Duluth,Minnesota,34.7,41271,44855,86126,5015,2258,2.25,MN,Hispanic or Latino,1981
North Little Rock,Arkansas,33.6,31671,34835,66506,4130,2787,2.62,AR,Black or African-American,30766
Jacksonville,Florida,35.7,419203,448828,868031,75432,85650,2.62,FL,Hispanic or Latino,80064
Schenectady,New York,36.7,32398,32901,65299,3388,10961,2.82,NY,American Indian and Alaska Native,1059
Norfolk,Virginia,30.2,128917,117476,246393,29445,16702,2.51,VA,White,127741
Lynn,Massachusetts,34.8,44598,47861,92459,3093,29899,2.81,MA,Hispanic or Latino,33250
Milpitas,California,36.8,40098,37519,77617,1608,39436,3.32,CA,Asian,52617
Carmel,Indiana,39.9,42928,46101,89029,2723,9645,2.71,IN,Hispanic or Latino,3111
Fort Worth,Texas,32.6,414126,422843,836969,39182,143404,2.88,TX,Asian,42053
Deerfield Beach,Florida,41.4,37155,42614,79769,3882,23642,2.46,FL,Hispanic or Latino,12729
North Charleston,South Carolina,30.7,56549,55315,111864,9651,8789,2.82,SC,Hispanic or Latino,12975
Richmond,Virginia,33.6,104793,115496,220289,12538,15741,2.29,VA,American Indian and Alaska Native,4902
New York,New York,36,4081698,4468707,8550405,156961,3212500,2.68,NY,Hispanic or Latino,2485125
Camarillo,California,40.8,31941,35682,67623,4384,9735,2.77,CA,Black or African-American,1219
Hawthorne,California,33.7,43682,44762,88444,2123,32107,2.97,CA,American Indian and Alaska Native,906
Asheville,North Carolina,37.9,42100,46407,88507,4973,6630,2.18,NC,American Indian and Alaska Native,496
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,White,411847
Joliet,Illinois,33.1,70863,79162,150025,7353,22409,3.13,IL,White,106160
Santa Clarita,California,38.1,90192,92175,182367,8537,40666,3.02,CA,Black or African-American,9223
Lancaster,California,30.9,80668,80445,161113,7892,17247,3.25,CA,White,110311
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,Hispanic or Latino,1783
Iowa City,Iowa,25.5,37089,37138,74227,2047,9202,2.36,IA,Asian,5533
Mission Viejo,California,44.9,48849,48314,97163,4713,17308,2.85,CA,Hispanic or Latino,18913
Allen,Texas,37.2,51324,46814,98138,3505,19649,3.04,TX,Hispanic or Latino,10615
Newport News,Virginia,32.8,88385,94000,182385,18896,12589,2.46,VA,Asian,8275
Deltona,Florida,39.9,44853,43621,88474,5664,7098,2.89,FL,White,75686
North Charleston,South Carolina,30.7,56549,55315,111864,9651,8789,2.82,SC,Asian,4181
Augusta-Richmond County consolidated government,Georgia,33.7,94662,101917,196579,19085,7915,2.67,GA,White,77940
Johns Creek,Georgia,39,40282,43057,83339,1983,29000,3.19,GA,White,48414
Mountain View,California,33.5,42493,37945,80438,1376,31857,2.46,CA,Asian,23884
Eagan,Minnesota,36.8,31587,34701,66288,2699,8642,2.49,MN,Hispanic or Latino,4328
Palm Coast,Florida,48.8,39489,42632,82121,7950,9084,2.76,FL,Hispanic or Latino,8706
Wyoming,Michigan,32.8,35967,39310,75277,3447,8612,2.65,MI,American Indian and Alaska Native,2444
Mission,Texas,32.9,40530,42777,83307,2383,22608,3.51,TX,Hispanic or Latino,73367
Brockton,Massachusetts,35.2,46273,49041,95314,3036,27313,2.88,MA,Asian,2528
Poinciana,Florida,34.2,38142,35801,73943,2933,14349,3.93,FL,White,45622
Springfield,Massachusetts,31.8,74744,79592,154336,5723,16226,2.81,MA,Hispanic or Latino,69209
Fargo,North Dakota,30.7,60560,58690,119250,6154,9428,2.18,ND,Asian,4646
Concord,California,39.6,62310,66358,128668,6287,37428,2.72,CA,American Indian and Alaska Native,1447
Beaumont,Texas,31.6,57326,60784,118110,7584,10516,2.47,TX,White,53597
McKinney,Texas,35.6,77339,85548,162887,8082,25760,2.91,TX,Hispanic or Latino,31705
Coral Springs,Florida,37.2,63316,66186,129502,4724,38552,3.17,FL,Hispanic or Latino,40817
Merced,California,29.7,40048,42392,82440,3723,16348,3.15,CA,White,42475
Syracuse,New York,30.3,69462,74690,144152,5845,17733,2.39,NY,White,88679
Spokane,Washington,36.6,102756,110511,213267,18044,13253,2.34,WA,Hispanic or Latino,13365
Kent,Washington,33.4,61825,65137,126962,7985,38175,3.06,WA,Black or African-American,20450
Allen,Pennsylvania,33.5,60626,59581,120207,5691,19652,2.67,PA,Hispanic or Latino,59176
Erie,Pennsylvania,35.3,48618,50852,99470,7093,6275,2.31,PA,White,78636
Louisville/Jefferson County metro government,Kentucky,37.5,298451,316938,615389,39364,37875,2.45,KY,Black or African-American,151256
Waukesha,Wisconsin,35.8,36263,35713,71976,3116,4982,2.35,WI,American Indian and Alaska Native,481
Waterloo,Iowa,37.2,34488,33969,68457,4800,5082,2.42,IA,Hispanic or Latino,4961
Austin,Texas,32.7,475718,456122,931840,37414,181686,2.5,TX,Asian,78916
Wilmington,Delaware,36.4,32680,39277,71957,3063,3336,2.45,DE,Black or African-American,44182
Mobile,Alabama,38,91275,103030,194305,11939,7234,2.4,AL,White,93755
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,American Indian and Alaska Native,1611
Saint Joseph,Missouri,35.7,37688,38408,76096,5846,3755,2.58,MO,Hispanic or Latino,5400
Baldwin Park,California,35.8,38747,38309,77056,780,34322,4.13,CA,White,36890
Toledo,Ohio,36.1,135455,144323,279778,15286,9257,2.29,OH,Black or African-American,85552
Chicago,Illinois,34.2,1320015,1400541,2720556,72042,573463,2.53,IL,White,1374535
Santa Rosa,California,37.9,86840,88149,174989,9101,33015,2.7,CA,Black or African-American,7157
Farmington Hills,Michigan,42.1,37527,43805,81332,3650,18033,2.41,MI,Black or African-American,13483
Laguna Niguel,California,45.8,30193,35619,65812,2648,12571,2.58,CA,White,55919
Westminster,Colorado,37.8,54866,58251,113117,6512,11361,2.63,CO,Hispanic or Latino,23355
North Little Rock,Arkansas,33.6,31671,34835,66506,4130,2787,2.62,AR,Hispanic or Latino,4860
Glendale,California,42.1,98181,102844,201025,4448,111510,2.69,CA,White,146718
Richmond,Virginia,33.6,104793,115496,220289,12538,15741,2.29,VA,Asian,6626
Kissimmee,Florida,36.7,33283,35869,69152,2449,16879,3.01,FL,White,51123
Kalamazoo,Michigan,26.4,37175,38865,76040,3048,3482,2.36,MI,Black or African-American,19194
Perris,California,26.9,41623,33336,74959,1321,23277,4.78,CA,Asian,3341
Loveland,Colorado,37.6,37042,38146,75188,5667,3050,2.53,CO,White,71538
Redding,California,38.8,42530,49049,91579,6926,5181,2.42,CA,White,81244
Rialto,California,31.6,49902,53235,103137,2036,32741,3.83,CA,Black or African-American,11800
Kenosha,Wisconsin,36.3,49349,50507,99856,6238,7443,2.55,WI,White,84780
Appleton,Wisconsin,35.6,37217,38038,75255,4219,4454,2.49,WI,Asian,5561
